date,1. open,2. high,3. low,4. close,5. volume,Stock
2021-10-07 20:00:00,143.32,143.59,143.32,143.55,36408.0,AAPL
2021-10-07 19:45:00,143.38,143.39,143.3,143.35,8505.0,AAPL
2021-10-07 19:30:00,143.38,143.4,143.32,143.36,9291.0,AAPL
2021-10-07 19:15:00,143.38,143.47,143.38,143.43,16100.0,AAPL
2021-10-07 19:00:00,143.21,143.39,143.21,143.38,17735.0,AAPL
2021-10-07 18:45:00,143.22,143.25,143.2,143.21,8468.0,AAPL
2021-10-07 18:30:00,143.28,143.28,143.22,143.24,6240.0,AAPL
2021-10-07 18:15:00,143.25,143.33,143.25,143.32,9197.0,AAPL
2021-10-07 18:00:00,143.18,143.24,143.16,143.19,3264.0,AAPL
2021-10-07 17:45:00,143.23,143.27,143.2,143.24,6221.0,AAPL
2021-10-07 17:30:00,143.21,143.27,143.21,143.27,6493.0,AAPL
2021-10-07 17:15:00,143.25,143.25,143.2,143.23,7448.0,AAPL
2021-10-07 17:00:00,143.3,143.3,143.2,143.2,11855.0,AAPL
2021-10-07 16:45:00,143.29,143.3,143.2,143.29,15144.0,AAPL
2021-10-07 16:30:00,143.29,143.3072,143.21,143.28,299258.0,AAPL
2021-10-07 16:15:00,143.24,143.29,142.98,143.29,1156024.0,AAPL
2021-10-07 16:00:00,143.43,143.45,143.0,143.28,4901251.0,AAPL
2021-10-07 15:45:00,143.77,143.84,143.43,143.43,1656345.0,AAPL
2021-10-07 15:30:00,143.74,143.82,143.6001,143.77,1432770.0,AAPL
2021-10-07 15:15:00,143.545,143.75,143.43,143.7481,1670547.0,AAPL
2021-10-07 15:00:00,143.57,143.66,143.425,143.54,1412473.0,AAPL
2021-10-07 14:45:00,143.74,143.82,143.535,143.5684,1261161.0,AAPL
2021-10-07 14:30:00,143.79,143.87,143.64,143.735,1161731.0,AAPL
2021-10-07 14:15:00,143.945,144.0,143.6753,143.785,1604963.0,AAPL
2021-10-07 14:00:00,144.13,144.17,143.91,143.9433,1076379.0,AAPL
2021-10-07 13:45:00,144.08,144.165,144.01,144.12,1061566.0,AAPL
2021-10-07 13:30:00,144.045,144.17,143.97,144.08,1442529.0,AAPL
2021-10-07 13:15:00,144.04,144.09,143.915,144.05,1431090.0,AAPL
2021-10-07 13:00:00,143.8068,144.06,143.71,144.045,1535913.0,AAPL
2021-10-07 12:45:00,143.835,143.985,143.77,143.8099,1147137.0,AAPL
2021-10-07 12:30:00,143.71,143.85,143.625,143.835,1212389.0,AAPL
2021-10-07 12:15:00,144.13,144.14,143.68,143.7,1400089.0,AAPL
2021-10-07 12:00:00,143.925,144.15,143.82,144.12,1404738.0,AAPL
2021-10-07 11:45:00,143.84,143.955,143.7504,143.9221,1720235.0,AAPL
2021-10-07 11:30:00,143.7462,143.84,143.545,143.83,1790857.0,AAPL
2021-10-07 11:15:00,144.01,144.0614,143.6,143.7462,1936858.0,AAPL
2021-10-07 11:00:00,143.9891,144.07,143.85,144.0,1837479.0,AAPL
2021-10-07 10:45:00,143.965,144.19,143.85,143.9775,2285722.0,AAPL
2021-10-07 10:30:00,144.04,144.215,143.84,143.965,3151505.0,AAPL
2021-10-07 10:15:00,143.845,144.19,143.78,144.035,4105142.0,AAPL
2021-10-07 10:00:00,143.5218,143.85,143.1099,143.845,3841266.0,AAPL
2021-10-07 09:45:00,143.06,143.73,142.72,143.52,7263708.0,AAPL
2021-10-07 09:30:00,143.3,143.32,142.92,142.97,172174.0,AAPL
2021-10-07 09:15:00,143.4,143.4,143.2,143.3,115549.0,AAPL
2021-10-07 09:00:00,143.51,143.54,143.3,143.4,72157.0,AAPL
2021-10-07 08:45:00,143.36,143.52,143.25,143.51,103859.0,AAPL
2021-10-07 08:30:00,143.49,143.5,143.34,143.36,111715.0,AAPL
2021-10-07 08:15:00,143.71,143.85,143.42,143.49,351720.0,AAPL
2021-10-07 08:00:00,143.68,143.8,143.56,143.7,47329.0,AAPL
2021-10-07 07:45:00,143.67,143.85,143.63,143.68,72586.0,AAPL
2021-10-07 07:30:00,143.63,143.85,143.62,143.67,58179.0,AAPL
2021-10-07 07:15:00,143.38,143.68,143.26,143.65,81430.0,AAPL
2021-10-07 07:00:00,143.15,143.37,143.14,143.37,6614.0,AAPL
2021-10-07 06:45:00,143.2,143.2,142.92,143.13,38234.0,AAPL
2021-10-07 06:30:00,143.46,143.46,143.24,143.24,7187.0,AAPL
2021-10-07 06:15:00,143.42,143.5,143.41,143.5,4780.0,AAPL
2021-10-07 06:00:00,143.42,143.42,143.41,143.41,537.0,AAPL
2021-10-07 05:45:00,143.43,143.46,143.38,143.38,2461.0,AAPL
2021-10-07 05:30:00,143.4,143.43,143.3,143.38,2095.0,AAPL
2021-10-07 05:15:00,143.38,143.5,143.38,143.41,5778.0,AAPL
2021-10-07 05:00:00,143.53,143.53,143.48,143.48,4586.0,AAPL
2021-10-07 04:45:00,143.48,143.63,143.48,143.53,11832.0,AAPL
2021-10-07 04:30:00,143.44,143.47,143.39,143.47,14548.0,AAPL
2021-10-07 04:15:00,143.25,143.68,143.14,143.44,36465.0,AAPL
2021-10-06 20:00:00,142.55,142.55,142.4,142.49,64302.0,AAPL
2021-10-06 19:45:00,142.58,142.67,142.52,142.55,23401.0,AAPL
2021-10-06 19:30:00,142.65,142.69,142.56,142.59,26571.0,AAPL
2021-10-06 19:15:00,142.5,142.77,142.48,142.65,37073.0,AAPL
2021-10-06 19:00:00,142.42,142.49,142.38,142.49,8910.0,AAPL
2021-10-06 18:45:00,142.3,142.5,142.3,142.42,33869.0,AAPL
2021-10-06 18:30:00,142.21,142.35,142.21,142.3,23466.0,AAPL
2021-10-06 18:15:00,142.15,142.2,142.13,142.2,4995.0,AAPL
2021-10-06 18:00:00,142.14,142.15,142.11,142.13,9191.0,AAPL
2021-10-06 17:45:00,142.13,142.15,142.11,142.13,9790.0,AAPL
2021-10-06 17:30:00,142.0,142.18,142.0,142.13,12345.0,AAPL
2021-10-06 17:15:00,142.13,142.19,142.0,142.16,152119.0,AAPL
2021-10-06 17:00:00,142.13,142.15,142.0,142.14,160931.0,AAPL
2021-10-06 16:45:00,142.1,142.17,142.01,142.14,28375.0,AAPL
2021-10-06 16:30:00,142.045,142.15,142.0,142.11,44152.0,AAPL
2021-10-06 16:15:00,142.0,142.1,141.86,142.05,1806518.0,AAPL
2021-10-06 16:00:00,141.28,142.15,141.16,141.97,5691074.0,AAPL
2021-10-06 15:45:00,141.47,141.5,141.12,141.29,1867047.0,AAPL
2021-10-06 15:30:00,141.2989,141.48,141.1,141.475,1593001.0,AAPL
2021-10-06 15:15:00,141.15,141.42,141.09,141.2901,1849511.0,AAPL
2021-10-06 15:00:00,141.585,141.66,141.12,141.165,1813583.0,AAPL
2021-10-06 14:45:00,141.42,141.65,141.27,141.5901,1567809.0,AAPL
2021-10-06 14:30:00,141.27,141.43,141.15,141.4201,1779619.0,AAPL
2021-10-06 14:15:00,140.91,141.3,140.72,141.2688,2836840.0,AAPL
2021-10-06 14:00:00,140.81,140.92,140.48,140.9111,2215347.0,AAPL
2021-10-06 13:45:00,140.4227,140.85,140.34,140.81,2846970.0,AAPL
2021-10-06 13:30:00,139.8,140.429,139.75,140.4288,2198592.0,AAPL
2021-10-06 13:15:00,139.85,139.92,139.56,139.8124,1824541.0,AAPL
2021-10-06 13:00:00,140.02,140.0799,139.77,139.85,1416116.0,AAPL
2021-10-06 12:45:00,139.81,140.08,139.715,140.0211,2027543.0,AAPL
2021-10-06 12:30:00,139.9388,140.21,139.7536,139.8101,1861528.0,AAPL
2021-10-06 12:15:00,140.39,140.415,139.89,139.945,2347860.0,AAPL
2021-10-06 12:00:00,139.86,140.455,139.79,140.3901,2307362.0,AAPL
2021-10-06 11:45:00,139.7099,140.0,139.6504,139.86,1913182.0,AAPL
2021-10-06 11:30:00,140.23,140.235,139.585,139.7076,2490716.0,AAPL
2021-10-06 11:15:00,140.285,140.38,139.935,140.2218,2353689.0,AAPL
date,1. open,2. high,3. low,4. close,5. volume,Stock
2021-10-07 20:00:00,295.15,295.85,295.15,295.85,4642.0,MSFT
2021-10-07 19:45:00,295.12,295.15,295.12,295.1201,653.0,MSFT
2021-10-07 19:30:00,295.07,295.07,294.97,294.97,1340.0,MSFT
2021-10-07 19:15:00,294.98,295.07,294.98,295.07,1950.0,MSFT
2021-10-07 19:00:00,294.9,294.98,294.9,294.98,1243.0,MSFT
2021-10-07 18:45:00,294.85,294.85,294.85,294.85,334.0,MSFT
